,QuarLang,AnzHH,AnzBestWir
0,Affoltern,11549,25658
1,Albisrieden,10877,21803
2,Alt-Wiedikon,8876,17012
3,Altstetten,16869,33331
4,City,310,702
5,Enge,4587,9299
6,Escher Wyss,2998,6151
7,Fluntern,3858,8277
8,Friesenberg,4307,10671
9,Gewerbeschule,4939,9077
10,Hard,6473,12247
11,Hirslanden,3662,6979
12,Hirzenbach,5850,12611
13,Hochschulen,252,438
14,Hottingen,5407,10778
15,Höngg,11223,23041
16,Langstrasse,6538,11197
17,Leimbach,2532,6030
18,Lindenhof,610,993
19,Mühlebach,3335,6115
20,Oberstrass,5260,10201
21,Oerlikon,11336,22216
22,Rathaus,1936,3124
23,Saatlen,3470,8748
24,Schwamendingen-Mitte,5580,10940
25,Seebach,11915,25161
26,Seefeld,3151,5380
27,Sihlfeld,11505,21354
28,Unterstrass,11827,23829
29,Weinegg,2461,4925
30,Werd,2206,4338
31,Wipkingen,8653,16035
32,Witikon,5321,10787
33,Wollishofen,9377,19034
