Quarter;Population;Density_per_settlement_area;HHincome_median;Coop;Denner;Migros;Number of Total stores;Inverse hh income;Norm;inverse # stores;Norm;Density_per_settlement_area;Norm;Location ranking
Saatlen; 8.826 ;105,10;42,60;1;0;0;1,00;2,35%; 0,87 ;1;1;105,10;0,36;31%
Friesenberg; 10.861 ;82,60;44,90;1;0;0;1,00;2,23%; 0,78 ;1;1;82,60;0,25;20%
Werd; 4.515 ;244,30;60,50;1;1;0;2,00;1,65%; 0,36 ;0,5;0,458333333;244,30;1,00;17%
Schwamendingen-Mitte; 11.207 ;127,50;39,60;1;1;1;3,00;2,53%; 1,00 ;0,333333333;0,277777778;127,50;0,46;13%
Leimbach; 6.462 ;111,90;46,80;1;0;1;2,00;2,14%; 0,72 ;0,5;0,458333333;111,90;0,39; 0,13 
Hirslanden; 7.531 ;108,90;63,15;0;1;0;1,00;1,58%; 0,31 ;1;1;108,90;0,38; 0,12 
Affoltern; 26.935 ;124,00;45,20;2;1;1;4,00;2,21%; 0,77 ;0,25;0,1875;124,00;0,45; 0,06 
Unterstrass; 24.953 ;162,30;53,40;1;2;1;4,00;1,87%; 0,52 ;0,25;0,1875;162,30;0,62; 0,06 
Seebach; 26.980 ;121,10;45,70;1;3;1;4,50;2,19%; 0,75 ;0,222222222;0,157407407;121,10;0,43; 0,05 
Gewerbeschule; 9.663 ;226,30;52,70;2;2;2;6,00;1,90%; 0,54 ;0,166666667;0,097222222;226,30;0,92; 0,05 
Wollishofen; 20.570 ;104,60;53,55;2;1;1;4,00;1,87%; 0,52 ;0,25;0,1875;104,60;0,36; 0,03 
Witikon; 11.402 ;82,60;55,81;1;1;1;3,00;1,79%; 0,46 ;0,333333333;0,277777778;82,60;0,25; 0,03 
Albisrieden; 22.875 ;130,30;51,00;3;2;1;6,00;1,96%; 0,59 ;0,166666667;0,097222222;130,30;0,47; 0,03 
Alt-Wiedikon; 18.079 ;149,40;61,20;2;2;1;5,00;1,63%; 0,35 ;0,2;0,133333333;149,40;0,56; 0,03 
Wipkingen; 16.698 ;155,60;53,65;4;2;1;7,00;1,86%; 0,51 ;0,142857143;0,071428571;155,60;0,59; 0,02 
Oberstrass; 10.909 ;96,70;62,90;2;1;1;4,00;1,59%; 0,31 ;0,25;0,1875;96,70;0,32; 0,02 
Enge; 10.017 ;98,70;75,00;2;0;1;3,00;1,33%; 0,13 ;0,333333333;0,277777778;98,70;0,33; 0,01 
Hongg; 24.807 ;100,50;55,50;4;2;1;7,00;1,80%; 0,47 ;0,142857143;0,071428571;100,50;0,34; 0,01 
Weinegg; 5.559 ;55,30;64,20;4;1;4;9,00;1,56%; 0,29 ;0,111111111;0,037037037;55,30;0,13; 0,00 
Altstetten; 35.642 ;99,70;49,60;6;5;2;13,00;2,02%; 0,63 ;0,076923077;0;99,70;0,33; -   
City; 820 ;27,30;70,70;7;0;3;10,00;1,41%; 0,19 ;0,1;0,025;27,30;0,00; -   
Fluntern; 8.946 ;63,70;86,08;1;1;1;3,00;1,16%; -   ;0,333333333;0,277777778;63,70;0,17; -   
;;;;;;;;2,53%;; 1,00 ;; 244,30 ;;
;;;;;;;;1,16%;; 0,08 ;; 27,30 ;;
;;;;;;;;1,36%;; 0,92 ;; 217,00 ;;
